epoch 001/150 | loss 2.2106 | train_acc 17.90% | test_acc 23.90%
epoch 002/150 | loss 1.7957 | train_acc 32.78% | test_acc 37.95%
epoch 003/150 | loss 1.5292 | train_acc 44.07% | test_acc 48.74%
epoch 004/150 | loss 1.3518 | train_acc 50.82% | test_acc 53.21%
epoch 005/150 | loss 1.2574 | train_acc 54.40% | test_acc 55.99%
epoch 006/150 | loss 1.2064 | train_acc 56.16% | test_acc 57.74%
epoch 007/150 | loss 1.1382 | train_acc 59.16% | test_acc 62.22%
epoch 008/150 | loss 1.0859 | train_acc 61.06% | test_acc 63.25%
epoch 009/150 | loss 1.0348 | train_acc 62.98% | test_acc 64.36%
epoch 010/150 | loss 0.9947 | train_acc 64.46% | test_acc 66.91%
epoch 011/150 | loss 0.9582 | train_acc 65.93% | test_acc 68.04%
epoch 012/150 | loss 0.9174 | train_acc 67.49% | test_acc 69.56%
epoch 013/150 | loss 0.8809 | train_acc 68.53% | test_acc 69.94%
epoch 014/150 | loss 0.8405 | train_acc 70.19% | test_acc 71.00%
epoch 015/150 | loss 0.8029 | train_acc 71.40% | test_acc 72.22%
epoch 016/150 | loss 0.7714 | train_acc 72.58% | test_acc 73.32%
epoch 017/150 | loss 0.7431 | train_acc 73.76% | test_acc 73.91%
epoch 018/150 | loss 0.7199 | train_acc 74.68% | test_acc 75.08%
epoch 019/150 | loss 0.6892 | train_acc 75.72% | test_acc 74.82%
epoch 020/150 | loss 0.6657 | train_acc 76.76% | test_acc 76.51%
epoch 021/150 | loss 0.6422 | train_acc 77.51% | test_acc 78.06%
epoch 022/150 | loss 0.6129 | train_acc 78.26% | test_acc 77.64%
epoch 023/150 | loss 0.5987 | train_acc 78.73% | test_acc 77.41%
epoch 024/150 | loss 0.5808 | train_acc 79.44% | test_acc 77.88%
epoch 025/150 | loss 0.5606 | train_acc 80.10% | test_acc 79.60%
epoch 026/150 | loss 0.5367 | train_acc 81.08% | test_acc 79.01%
epoch 027/150 | loss 0.5224 | train_acc 81.57% | test_acc 79.25%
epoch 028/150 | loss 0.5014 | train_acc 82.31% | test_acc 79.70%
epoch 029/150 | loss 0.4814 | train_acc 82.77% | test_acc 80.80%
epoch 030/150 | loss 0.4662 | train_acc 83.38% | test_acc 81.32%
epoch 031/150 | loss 0.4519 | train_acc 84.05% | test_acc 79.67%
epoch 032/150 | loss 0.4376 | train_acc 84.58% | test_acc 81.30%
epoch 033/150 | loss 0.4165 | train_acc 85.31% | test_acc 81.72%
epoch 034/150 | loss 0.3977 | train_acc 86.01% | test_acc 82.12%
epoch 035/150 | loss 0.3821 | train_acc 86.39% | test_acc 81.72%
epoch 036/150 | loss 0.3695 | train_acc 86.92% | test_acc 82.28%
epoch 037/150 | loss 0.3547 | train_acc 87.31% | test_acc 82.73%
epoch 038/150 | loss 0.3421 | train_acc 87.69% | test_acc 81.81%
epoch 039/150 | loss 0.3279 | train_acc 88.19% | test_acc 82.08%
epoch 040/150 | loss 0.3153 | train_acc 88.76% | test_acc 82.52%
epoch 041/150 | loss 0.2945 | train_acc 89.41% | test_acc 83.51%
epoch 042/150 | loss 0.2853 | train_acc 89.74% | test_acc 82.67%
epoch 043/150 | loss 0.2712 | train_acc 90.28% | test_acc 83.51%
epoch 044/150 | loss 0.2624 | train_acc 90.72% | test_acc 82.78%
epoch 045/150 | loss 0.2418 | train_acc 91.35% | test_acc 82.81%
epoch 046/150 | loss 0.2402 | train_acc 91.40% | test_acc 83.62%
epoch 047/150 | loss 0.2306 | train_acc 91.68% | test_acc 83.53%
epoch 048/150 | loss 0.2133 | train_acc 92.30% | test_acc 83.15%
epoch 049/150 | loss 0.2009 | train_acc 92.75% | test_acc 82.66%
epoch 050/150 | loss 0.1993 | train_acc 92.88% | test_acc 83.50%
epoch 051/150 | loss 0.1827 | train_acc 93.41% | test_acc 82.94%
epoch 052/150 | loss 0.1757 | train_acc 93.66% | test_acc 83.21%
epoch 053/150 | loss 0.1696 | train_acc 93.93% | test_acc 83.49%
