epoch 043/60 | loss 0.7632 | train_acc 72.85% | test_acc 70.32%
epoch 044/60 | loss 0.7426 | train_acc 73.57% | test_acc 71.48%
epoch 045/60 | loss 0.7355 | train_acc 73.81% | test_acc 71.96%
epoch 046/60 | loss 0.7170 | train_acc 74.38% | test_acc 72.31%
epoch 047/60 | loss 0.6932 | train_acc 75.28% | test_acc 72.51%
epoch 048/60 | loss 0.6758 | train_acc 75.81% | test_acc 73.10%
epoch 049/60 | loss 0.6577 | train_acc 76.58% | test_acc 73.04%
epoch 050/60 | loss 0.6465 | train_acc 76.80% | test_acc 73.32%
epoch 051/60 | loss 0.6346 | train_acc 77.22% | test_acc 73.86%
epoch 052/60 | loss 0.6190 | train_acc 77.88% | test_acc 74.27%
epoch 053/60 | loss 0.6072 | train_acc 78.48% | test_acc 74.36%
epoch 054/60 | loss 0.5966 | train_acc 78.66% | test_acc 73.96%
epoch 055/60 | loss 0.5871 | train_acc 79.10% | test_acc 74.25%
epoch 056/60 | loss 0.5786 | train_acc 79.30% | test_acc 74.86%
epoch 057/60 | loss 0.5769 | train_acc 79.43% | test_acc 74.69%
epoch 058/60 | loss 0.5717 | train_acc 79.62% | test_acc 74.74%
epoch 059/60 | loss 0.5668 | train_acc 79.86% | test_acc 74.48%
epoch 060/60 | loss 0.5609 | train_acc 79.94% | test_acc 74.61%

================================================================
run 68/81 | lr=0.001 wd=0.07 bs=256 drop_path_rate=0.1
================================================================
epoch 001/60 | loss 2.0622 | train_acc 23.47% | test_acc 26.62%
epoch 002/60 | loss 1.7992 | train_acc 32.52% | test_acc 40.74%
epoch 003/60 | loss 1.5048 | train_acc 44.83% | test_acc 44.97%
epoch 004/60 | loss 1.3685 | train_acc 50.50% | test_acc 53.56%
epoch 005/60 | loss 1.3437 | train_acc 51.20% | test_acc 53.80%
epoch 006/60 | loss 1.3664 | train_acc 50.04% | test_acc 48.16%
epoch 007/60 | loss 1.3952 | train_acc 49.38% | test_acc 49.71%
epoch 008/60 | loss 1.4156 | train_acc 48.54% | test_acc 49.66%
epoch 009/60 | loss 1.3981 | train_acc 48.96% | test_acc 50.92%
epoch 010/60 | loss 1.3722 | train_acc 50.40% | test_acc 50.17%
epoch 011/60 | loss 1.3706 | train_acc 50.28% | test_acc 52.08%
epoch 012/60 | loss 1.3344 | train_acc 51.59% | test_acc 50.03%
epoch 013/60 | loss 1.3602 | train_acc 50.52% | test_acc 53.11%
epoch 014/60 | loss 1.3095 | train_acc 52.41% | test_acc 54.43%
epoch 015/60 | loss 1.2987 | train_acc 52.86% | test_acc 54.14%
epoch 016/60 | loss 1.3024 | train_acc 52.67% | test_acc 53.77%
epoch 017/60 | loss 1.2974 | train_acc 52.98% | test_acc 55.65%
epoch 018/60 | loss 1.2831 | train_acc 53.60% | test_acc 54.34%
epoch 019/60 | loss 1.2580 | train_acc 54.32% | test_acc 56.54%
epoch 020/60 | loss 1.2099 | train_acc 56.35% | test_acc 57.79%
epoch 021/60 | loss 1.1928 | train_acc 57.09% | test_acc 58.76%
epoch 022/60 | loss 1.1754 | train_acc 57.69% | test_acc 58.41%
epoch 023/60 | loss 1.1499 | train_acc 58.46% | test_acc 57.86%
epoch 024/60 | loss 1.1640 | train_acc 58.20% | test_acc 60.28%
epoch 025/60 | loss 1.1434 | train_acc 58.57% | test_acc 61.16%
epoch 026/60 | loss 1.1118 | train_acc 59.99% | test_acc 59.78%
