epoch,train_loss,train_acc,val_acc,lr,weight_decay,drop_path_rate,batch_size,beta1,beta2
1,2.4343326187133787,0.08500000089406967,0.09000000357627869,5.1150895140664964e-08,0.02,0.0,128,0.9,0.999
2,2.3728137588500977,0.1100000011920929,0.12999999523162842,2.0051150895140663e-05,0.02,0.0,128,0.9,0.999
3,2.077584309577942,0.25000000119209287,0.15000000596046448,4.005115089514067e-05,0.02,0.0,128,0.9,0.999
4,2.0200195598602293,0.2650000047683716,0.18000000715255737,6.0051150895140666e-05,0.02,0.0,128,0.9,0.999
5,1.9191256618499757,0.30999999642372134,0.18000000715255737,8.005115089514067e-05,0.02,0.0,128,0.9,0.999
6,1.8460330295562744,0.3349999976158142,0.20000000298023224,9.999994189832583e-05,0.02,0.0,128,0.9,0.999
7,1.8316159105300904,0.3500000011920929,0.25999999046325684,9.136321331881297e-05,0.02,0.0,128,0.9,0.999
8,1.7478314781188964,0.355,0.2199999988079071,6.883697319167643e-05,0.02,0.0,128,0.9,0.999
9,1.7185040044784545,0.38500000357627867,0.2199999988079071,4.1025479606740594e-05,0.02,0.0,128,0.9,0.999
10,1.7098497581481933,0.3949999988079071,0.2199999988079071,1.855177783555133e-05,0.02,0.0,128,0.9,0.999
